# 0xd < 201.42.24.136	0xe1 < 201.42.24.136	0x1 > 201.42.24.136	0x61 < 201.42.24.136	0xcd < 201.42.24.136	0x4d < 201.42.24.136	0x61 > 201.42.24.136	0xc1 < 201.42.24.136	0x1 < 201.42.24.136	0xd > 201.42.24.136	0xc1 > 201.42.24.136	0xcd > 201.42.24.136	0x8d > 201.42.24.136	0x4d > 201.42.24.136	0x41 < 201.42.24.136	0x0 < 201.42.24.136	0x8d < 201.42.24.136	0xe1 > 201.42.24.136
0	0	0	0	0	0	0	0	0	0	0	1	58	1	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	2	56	2	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	3	54	3	0	0	60	0
0	0	0	0	2	2	0	0	0	0	0	2	55	2	0	0	56	0
0	0	0	0	9	9	0	0	0	0	0	4	52	4	0	0	42	0
0	0	0	0	9	9	0	0	0	0	0	0	60	0	0	0	42	0
0	0	0	0	9	8	0	0	0	0	0	0	60	0	0	0	43	0
0	0	0	0	15	15	0	0	0	0	0	1	58	1	0	0	30	0
0	0	0	0	13	13	0	0	0	0	0	0	60	0	0	0	34	0
0	0	0	0	14	14	0	0	0	0	0	0	60	0	0	0	32	0
0	0	0	0	12	12	0	0	0	0	0	0	60	0	0	0	36	0
0	0	0	0	4	5	0	0	0	0	0	0	60	0	0	0	51	0
0	0	0	0	5	4	0	0	0	0	0	0	60	0	0	0	51	0
0	0	0	0	3	3	0	0	0	0	0	0	60	0	0	0	54	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	2	58	0	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	1	0	0	0	0	0	0	0	60	0	0	0	59	0
0	0	0	0	1	0	0	0	0	0	0	0	60	0	0	0	59	0
0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	60	0
0	0	0	0	3	0	0	0	0	0	0	1	59	1	0	0	57	0
0	0	0	0	0	0	0	0	0	0	0	1	58	0	0	0	58	0
0	0	0	0	1	0	0	0	0	0	0	0	60	0	0	0	59	0
0	0	0	0	0	0	0	0	0	0	0	0	59	1	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	3	55	2	0	0	60	0
0	0	0	0	1	0	0	0	0	0	0	1	58	1	0	0	59	0
0	0	0	0	0	0	0	0	0	0	0	2	56	2	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	8	44	8	0	0	58	0
0	0	0	0	1	1	0	0	0	0	0	13	34	13	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	13	34	13	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	19	21	20	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	19	22	19	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	20	21	19	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	16	28	16	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	13	33	14	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	14	32	14	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	11	38	11	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	10	40	9	0	0	58	0
0	0	0	0	1	1	0	0	0	0	0	4	51	5	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	3	54	3	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	2	57	1	0	0	60	0
0	0	0	0	2	2	0	0	0	0	0	1	57	2	0	0	56	0
0	0	0	0	1	0	0	0	0	0	0	2	56	2	0	0	59	0
0	0	0	0	8	9	0	0	0	0	0	0	60	0	0	0	43	0
0	0	0	0	6	5	0	0	0	0	0	0	60	0	0	0	49	0
0	0	0	0	9	9	0	0	0	0	0	0	60	0	0	0	42	0
0	0	0	0	13	13	0	0	0	0	0	1	58	1	0	0	34	0
0	0	0	0	3	3	0	0	0	0	0	0	60	0	0	0	53	0
0	0	0	0	6	6	0	0	0	0	0	0	60	0	0	0	49	0
0	0	0	0	11	12	1	0	0	0	0	1	59	0	0	0	36	0
1	0	2	2	19	2	1	0	2	1	0	15	23	0	0	0	18	0
0	0	0	0	3	3	0	0	0	0	0	0	60	0	0	0	53	0
0	0	0	0	1	1	0	0	0	0	0	2	56	2	0	0	58	0
